question,answer,topic
What is abdomen?,The tummy area from the lower ribs to the pelvis.,medicine
What is abdominal?,Of the abdomen.,medicine
What is abduction?,"Movement of a body part, such as an arm or leg, away from the center of the body.",medicine
What is abductor?,A muscle that moves a limb or body part away from the midline of the body.,medicine
What is abortion?,Ending a pregnancy using either medicines (medical abortion) or an operation (surgical abortion).,medicine
What is abscess?,"Pus that collects in a pocket of swollen, red tissue. Often occurs on the surface of the skin.",medicine
What is achilles tendon?,"A tough, fibrous band of tissue that connects the calf muscles to the heel bone, allowing for the movement of the foot.",medicine
What is acne?,"An inflammatory disease resulting from excess sebum production, follicle plugging, and increased bacterial production.",medicine
What is acupressure?,"Using the thumb or fingers to apply pressure to particular spots, or pressure points, on the body in order to relieve pain.",medicine
What is acupuncture?,A treatment based on Chinese medicine. Thin needles are inserted into the skin at specific points on the body. This therapy is used to treat pain and various health problems and to reduce stress.,medicine
What is adductor?,A muscle that moves a limb or body part toward the midline of the body.,medicine
What is adrenal glands?,Glands that sit on top of each kidney and secrete stress hormones.,medicine
What is adrenaline?,"Stress hormone that puts the body on high alert. Changes include faster heartbeat, more rapid breathing, greater energy, and higher blood pressure. Also called epinephrine.",medicine
What is aerobic?,"Any process that requires oxygen. Often used to describe a form of exercise, aerobic exercise.",medicine
What is agonist muscle?," A muscle that is very effective in causing a certain joint movement. Also called the prime mover.On a biceps curl, the biceps is the agonist muscle that flexes the elbow joint.",medicine
What is aids?,"Acquired Immune Deficiency Syndrome, a condition caused by the Human Immunodeficiency Virus (HIV) that damages the immune system, making the body susceptible to infections and cancers.",medicine
What is albinism?,"A group of inherited conditions that typically appear as a reduction or absence of melanin pigments in the skin, hair, and eyes.",medicine
What is allele?,"One of two or more versions of a gene. Different alleles produce variations in inherited characteristics, such as eye color.",medicine
What is allergen?,"A substance such as fur, pollen, or dust that produces an allergic reaction.",medicine
What is alopecia?,"A condition that causes hair loss, either in patches or throughout the entire body.",medicine
What is alveoli?,Tiny air sacs in the lung. They are where oxygen enters and carbon dioxide leaves the bloodstream.,medicine
What is alzheimer’s disease?,"A progressive neurological disorder that affects memory, thinking, and behavior. It is the most common cause of dementia in older adults.",medicine
What is amnesia?,Unusual memory loss or forgetfulness.,medicine
What is amniotic fluid?,The watery liquid surrounding and protecting the growing fetus in the uterus.,medicine
What is amniotic sac?,"The pregnancy sac containing the baby and the amniotic fluid. It is sometimes also called ""the membranes"".",medicine
What is amputation?,The surgical removal of a limb or other body part.,medicine
What is amygdala?,Part of the brain involved in memory and emotion.,medicine
What is anabolic?,"Refers to processes in the body that build or create tissue, such as muscle growth.",medicine
What is anaemia?,"A condition when the level of haemoglobin, the protein in blood which carries oxygen round the body, is lower than normal. It can be mild or severe and can cause tiredness, breathlessness, fainting, headaches. It can also cause your heart to beat faster.",medicine
What is anaerobic?,"Any process that doesn’t require oxygen. Often refers to a form of short, high intensity exercise, known as anaerobic exercise.",medicine
What is anaesthesia?,A medical way of relieving pain.,medicine
What is anal sphincter?,The muscle around the anus that is squeezed to prevent passing wind or opening the bowels involuntarily.,medicine
What is analgesic?,"A drug or other substance such as aspirin, acetaminophen, or morphine that is used to relieve pain.",medicine
What is anaphylactic?,"A severe and potentially life-threatening allergic reaction, characterized by symptoms such as difficulty breathing, low blood pressure, and swelling of the face and throat.",medicine
What is anaphylaxis?,Anaphylaxis is a severe and potentially life-threatening allergic reaction that needs immediate treatment.,medicine
What is androgen?,"Any of a group of male sex hormones, including testosterone, that controls male characteristics such as beard growth.",medicine
What is androgenetic alopecia?,Female- and male-pattern baldness. The condition appears to involve a heightened response by the hair follicle to androgen levels in the body.,medicine
What is aneurysm?,"A bulge or swelling on a portion of a blood vessel, due to weakness in the wall of that vessel.",medicine
What is angina?,A type of chest pain that occurs when the heart muscle does not receive enough oxygen-rich blood.,medicine
What is anorexia?,An eating disorder in which a person has an intense fear of gaining weight and severely limits calories to the point of near starvation.,medicine
What is antagonist muscles?,"Pairs of muscles that work together to produce movement, with one muscle contracting while the other relaxes.",medicine
What is anti-inflammatory drugs?,Medicines to stop or reduce swelling and redness.,medicine
What is antibiotics?,Medicines to fight an infection caused by bacteria.,medicine
What is antibodies?,"Proteins produced by the immune system in response to foreign substances, such as bacteria or viruses.",medicine
What is anticoagulant medication?,Medicines to reduce clotting in the blood vessels.,medicine
What is antidepressant?,"A psychiatric drug used to treat mood disorders, such as depression.",medicine
What is antigen?,A substance in the blood that helps trigger the immune system to develop antibodies. See blood group.,medicine
What is antihistamine?,"Medications that treat allergies and reduce symptoms such as sneezing and itching by blocking histamine, the substance in the body which causes these symptoms.",medicine
What is antioxidant?,"Substances that protect the body from molecules that damage cells (free radicals); examples include beta carotene, vitamin C, vitamin A, and vitamin E.",medicine
What is antipsychotic?,A drug used to treat schizophrenia and other severe mental health disorders; relieves symptoms such as delusions and hallucinations.,medicine
What is antiseptic?,"Substances used on wounds to prevent or treat infection; they kill or slow the growth of disease-causing organisms, such as bacteria, on the surface of the body.",medicine
What is anus?,The external opening at the end of digestive tract where feces are expelled.,medicine
What is aorta?,The large artery emerging from the heart's left ventricle that distributes blood to the body.,medicine
What is apnea?,A temporary pause in breathing during sleep that can be very brief or can last so long that the amount of oxygen in the blood drops dangerously low.,medicine
What is arrhythmia?,An abnormal heart rhythm caused by a disturbance in the heart’s electrical system.,medicine
What is artery?,A blood vessel that carries blood away from the heart and to various parts of the body.,medicine
What is arthritis?,"A condition in which joints are inflamed, causing pain, stiffness, swelling, and sometimes loss of movement.",medicine
What is articulations?,"Points where two or more bones come together, allowing movement.",medicine
What is asphyxiation?,"A condition that occurs when the body is deprived of oxygen, leading to unconsciousness or death.",medicine
What is aspiration?,"Breathing in a foreign object. Also, the process of suctioning fluid, tissue, or other substances from the body.",medicine
What is aspirin?,"A drug that relieves pain, fever, and swelling, and inhibits the formation of blood clots.",medicine
What is assisted birth?,"A type of childbirth that involves the use of medical interventions, such as forceps or vacuum extraction, to help the baby out of the birth canal.",medicine
What is assisted conception?,"Techniques used to help couples conceive, such as in vitro fertilization or intrauterine insemination.",medicine
What is asthma?,"A disease that inflames and narrows airways, causing wheezing, shortness of breath, coughing, and tightness in the chest.",medicine
What is athlete’s foot?,A foot infection caused by fungus; symptoms include cracking and peeling skin and itchiness. Also known as tinea pedis.,medicine
What is atp?,"Adenosine triphosphate, a molecule that provides energy for cellular processes in the body.",medicine
What is atrium?,One of the two upper chambers of the heart.,medicine
What is atrophy?,"Wasting away of an organ or tissue due to undernourishment, disease, or aging.",medicine
What is audiologist?,A health professional who assesses hearing and fits hearing aids.,medicine
What is auditory nerve?,A nerve in the inner ear that transmits information about sound to the brain.,medicine
What is autoimmune disease?,A disease in which the immune system mistakenly identifies healthy tissues and organs as threats and responds by attacking and destroying them.,medicine
What is autoimmune response?,When the body produces antibodies which react against the body’s own tissues.,medicine
What is autopsy?,Surgically opening and examining a body after death to see if any diseases are present and to determine the cause of death.,medicine
What is bacteria?,Tiny organisms that may cause certain infections.,medicine
What is benign?,Harmless; often used to refer to a tumor that is not cancerous and does not usually spread.,medicine
What is benign prostatic hyperplasia?,A noncancerous enlargement of the prostate gland that obstructs the flow of urine. Often called BPH.,medicine
What is beta blockers?,"Medications that block epinephrine (adrenaline) and norepinephrine from attaching to certain parts of nerve cells known as beta receptors. Used to treat high blood pressure, heart rhythm problems, migraines, panic attacks, and other conditions.",medicine
What is bicep?,"A muscle located on the front of the upper arm, responsible for flexing the elbow joint.",medicine
What is bile acids?,Bile acids are made in your liver and they help you to digest fat and fat soluble vitamins. Intrahepatic cholestasis of pregnancy (obstetric cholestasis) is where you have a build up of bile acids in your body.,medicine
What is bioelectrical impedance?," This method of measuring body composition is based on the fact that the lean tissue of the body is much more conductive due to its higher water content than fat tissue. The more lean tissue present in the body, the greater the conductive potential, measured in ohms.",medicine
What is biopsy?,The removal of a small piece of tissue from the body for examination under a microscope.,medicine
What is birth asphyxia?,When a baby has experienced a reduced level of oxygen around the time of birth. Affected babies may not breathe normally and may have a low heart rate.,medicine
What is bladder?,The organ in the pelvis which stores urine before it is passed out through the urethra.,medicine
What is blister?,A small pocket of fluid that develops between the upper layers of skin; often caused by friction or burns.,medicine
What is blood clot?,A coagulated mass that occurs when blood cells stick together and form a solid.,medicine
What is blood group/blood type?,A classification system for blood based on the presence or absence of specific antigens on the surface of red blood cells.,medicine
What is blood pressure?,The force blood exerts against the walls of the arteries. Optimal blood pressure is less than 120/80 mm Hg.,medicine
What is blood vessel?,"A tubular structure that carries blood throughout the body, including arteries, veins, and capillaries.",medicine
What is body composition?,Amount of fat vs. lean muscle tissue in the human body.,medicine
What is body mass index?,"A measure of body fat estimated from a person’s height and weight. A healthy BMI is defined as 18.5 to 24.9. BMI = weight (in kilograms) divided by height (in meters) squared. Using English units, multiply weight in pounds by 703, then divide the result by height in inches, and divide that result by height in inches.",medicine
What is botox?,"A brand name for a neurotoxin produced by the bacterium Clostridium botulinum, which is used in medicine for various purposes, including cosmetic treatments to reduce the appearance of wrinkles.",medicine
What is bowel?,The small or large intestine.,medicine
What is brain?,"The organ that serves as the center of the nervous system in animals, controlling body functions and processing sensory information.",medicine
What is brain stem?,"The part of the brain that connects the brain with the spinal cord and controls movement, sensation, and reflexes.",medicine
What is brain waves?,Electrical impulses generated by the firing of nerve cells in the brain (neurons).,medicine
What is broca’s area?,"A region of the brain located in the left hemisphere, responsible for language production and speech.",medicine
What is bronchi?,"Two large tubes that branch off the trachea, carrying air to and from the lungs.",medicine
What is bronchial tubes?,The airways that connect the lungs to the trachea (windpipe) and allow air to pass into and out of the lungs.,medicine
What is bronchiole?,A small airway in the respiratory system that connects to the alveoli (air sacs); a branch of the bronchial tubes.,medicine
What is bronchitis?,"An inflammation of the bronchial tubes, often caused by a viral or bacterial infection.",medicine
What is bunion?,"A bump of bone or tissue that forms at the big toe joint, causing inflammation and considerable pain.",medicine
What is bursa?,"A protective, fluid-filled sac located in or near the joints that cushions the movement of bone against tendons, skin, and muscle.",medicine
What is bypass?,"A procedure used to divert the flow of blood or other fluids. When referring to the heart, shorthand for coronary artery bypass surgery, used to divert blood flow around a blocked coronary artery.",medicine
What is caesarian birth?,A surgical procedure in which a baby is delivered through an incision in the mother's abdomen and uterus.,medicine
What is caffeine?," A stimulant found in coffee, tea, chocolate, and some soft drinks that increases heart contractions, oxygen consumption, metabolism, and urinary output.",medicine
What is calcium?,"A mineral that the body needs for many vital functions, including bone formation, regulation of heart rate and blood pressure, and muscle contraction.",medicine
What is calisthenics?,Exercising using one’s own body weight which helps develop muscular tone.,medicine
What is callus?,"Hardened, thick skin that forms after repeated friction; often found on hands and the bottom of feet.",medicine
What is cancer?,A disease in which some of the body's cells grow uncontrollably and spread to other parts of the body.,medicine
What is capillaries?,The body’s smallest blood vessels; they deliver oxygen and nutrients to tissues.,medicine
What is capsaicin?,An chemical found in hot chili peppers that is used in some pain relief creams.,medicine
What is carbon monoxide?,"An odorless, colorless gas that is toxic to humans and animals at high levels; it is produced by cars, furnaces, fireplaces, and other equipment powered by combustion.",medicine
What is carcinogen?,Any substance that can cause cancer.,medicine
What is cardiac arrest?,The sudden cessation of contractions capable of circulating blood to the body and brain. Also called sudden cardiac arrest. Cardiac arrest usually occurs as a result of a rapid ventricular rhythm (ventricular tachycardia) or a chaotic one (ventricular fibrillation). Death occurs within minutes unless cardiopulmonary resuscitation and defibrillation are available.,medicine
What is cardiac muscle?,"The muscle tissue that makes up the heart, responsible for pumping blood throughout the body.",medicine
What is cardiopulmonary?,Pertaining to the heart and lungs.,medicine
What is cardiorespiratory fitness?,Measure of the heart’s ability to pump oxygen,medicine
What is cardiovascular?,Pertaining to the heart and blood vessels.,medicine
What is cardiovascular disease?,"A group of conditions that affect the heart and blood vessels, including coronary artery disease, heart failure, and stroke.",medicine
What is cardiovascular system?," A complex system consisting of the heart and blood vessels; transports nutrients, oxygen, and enzymes throughout the body and regulates temperature, water levels of cells, and acidity levels of body components.",medicine
What is carotid artery?,One of two major blood vessels found on either side of the neck. The carotid arteries supply blood to the brain.,medicine
What is carpal tunnel syndrome?,"A condition that occurs when the median nerve, which runs from the forearm through the hand, is compressed; symptoms include pain, tingling, and numbness, as well as hand weakness.",medicine
What is cartilage?,Stiff connective tissue that provides support to other tissues and cushions joints.,medicine
What is catabolic?,"Referring to processes in the body that break down or degrade molecules, releasing energy.",medicine
What is cataract?,A clouding or fogging of the lens of the eye that may blur or tint vision.,medicine
What is catheter?,"A small tube that can be passed through a part of the body, for example through the urethra (to empty the bladder).",medicine
What is cavity?,A hole in the tooth caused by advanced decay.,medicine
What is celiac disease?,"A disease characterized by damage to the small intestine caused by an oversensitivity to gluten, a protein found in wheat, rye, and barley. Celiac disease can interfere with the proper absorption of nutrients from food.",medicine
What is cell?,The tiny building blocks which make up the organs and tissues of the body.,medicine
What is central nervous system?,"The brain, brainstem, and spinal cord.",medicine
What is central sleep apnea?,"A disorder in which breathing repeatedly stops during sleep, because the brain doesn’t properly signal the muscles that control breathing.",medicine
What is cerebellum?,The part of the brain that controls coordinated movement.,medicine
What is cerebral cortex?,"The part of the brain involved in all forms of conscious experience, including thought, language, and memory.",medicine
What is cerebrum?,"The largest part of the brain, responsible for conscious thought, sensation, and voluntary movement.",medicine
What is cerumen (ear wax)?,"A waxy substance produced by glands in the ear canal, which helps to protect the ear from foreign particles and moisture.",medicine
What is cervical screening?,An internal swab test to check your cervix is healthy. It is sometimes called a smear test.,medicine
What is cervical spine?,The part of the spine located in the neck and consisting of the top seven vertebrae.,medicine
What is cervix?,"The entrance or neck of the womb, at the top of the vagina.",medicine
What is chemotherapy?,The use of chemicals to treat disease; often used to destroy cancer cells.,medicine
What is chicken pox?,"A highly contagious viral infection, characterized by a blister-like rash, fever, and fatigue.",medicine
What is chiropractor?,"Someone who treats disease by manipulation and adjustment of body structures, often the spine.",medicine
What is chlamydia?,"A sexually transmitted infection caused by the bacterium Chlamydia trachomatis, which can cause symptoms such as discharge, burning during urination, and pelvic pain.",medicine
What is cholesterol?,"A waxy, fat-like substance produced by the liver and found in all food from animal sources; an essential component of body cells and a precursor of bile acids and some hormones.",medicine
What is chromosome?,"A threadlike structure, found in the nucleus of each cell, that carries almost all of a cell’s genes.",medicine
What is chronic?,Something that persists or continues for at least six months.,medicine
What is chronic fatigue syndrome?,"A disorder of ongoing, severe tiredness that interferes with a person’s ability to function well, isn’t improved with rest, and isn’t caused by another illness.",medicine
What is chronic kidney disease?,Any type of kidney disease that lasts longer than three months and impairs kidney function.,medicine
What is chronic pain syndrome?,"Long-term, severe pain that doesn’t spring from an injury or illness, that interferes with daily life, and is often accompanied by other problems, such as depression, irritability, and anxiety.",medicine
What is cilia?,"Small, hairlike structures on the surface of some cells.",medicine
What is circuit training?," Takes the participant through a series of exercise stations (which could also include strength training), with relatively brief rest intervals between each station. The purpose is to keep the heart rate elevated near the aerobic level without dropping off. The number of stations may range from 4 to 10.",medicine
What is cirrhosis?,A chronic disease of the liver that progressively destroys the liver’s ability to aid in digestion and detoxification.,medicine
What is clavicle?,"The bone that connects the shoulder blade to the sternum, forming part of the shoulder girdle.",medicine
What is clitoris?,A small organ under a fold of skin at the top of the vulva. The external part is about the size of a pea. When a woman is sexually aroused it swells with blood and produces feelings of sexual pleasure when stimulated.,medicine
What is coccyx?,"A small triangular bone at the base of the spine, also known as the tailbone.",medicine
What is cognitive behavioural therapy?,A type of psychotherapy that focuses on identifying and changing negative thought patterns and behaviors.,medicine
